Grid spacing = 5
At Height 10
138
X	Y
-59.717156	88.121451
-59.212976	87.258098
-58.70391	86.397609
-58.189609	85.540251
-57.669734	84.686248
-57.144003	83.835855
-56.612147	82.989258
-56.073975	82.146681
-55.529309	81.308275
-54.978043	80.474198
-54.420108	79.644572
-53.855479	78.819484
-53.284174	77.998996
-52.70626	77.183155
-52.121832	76.371971
-51.531017	75.565431
-50.933959	74.763488
-50.330846	73.966104
-49.721854	73.173187
-49.107197	72.38466
-48.487084	71.600418
-47.861733	70.82035
-47.231358	70.044328
-46.596184	69.272235
-45.956428	68.503937
-45.31229	67.73929
-44.663999	66.978185
-44.011732	66.220458
-43.35571	65.466009
-42.696092	64.714677
-42.03307	63.966349
-41.366822	63.22091
-40.697498	62.478224
-40.025253	61.738175
-39.350238	61.000658
-38.672588	60.265556
-37.992433	59.532767
-37.309902	58.802196
-36.625114	58.073747
-35.938169	57.347319
-35.249181	56.622833
-34.558249	55.900206
-33.865466	55.179358
-33.170906	54.460201
-32.474674	53.742683
-31.776831	53.026717
-31.077462	52.31225
-30.376631	51.599214
-29.67441	50.887555
-28.970853	50.177207
-28.266024	49.468124
-27.559979	48.760251
-26.852773	48.053545
-26.144447	47.347949
-25.435061	46.643432
-24.724652	45.939944
-24.013261	45.237443
-23.30093	44.535892
-22.587696	43.835256
-21.873607	43.135509
-21.158681	42.436602
-20.442963	41.738517
-19.726476	41.041214
-19.009255	40.344671
-18.291321	39.648853
-17.572715	38.953746
-16.853444	38.259309
-16.13355	37.565534
-15.413041	36.872383
-14.678868	36.199155
-13.761777	35.801137
-12.831607	35.434701
-11.88753	35.105842
-10.928904	34.822307
-9.955642	34.59425
-8.968859	34.435085
-7.972113	34.362438
-6.973598	34.398747
-5.989559	34.570106
-5.047409	34.900679
-4.183845	35.401373
-3.433232	36.059496
-2.812909	36.842059
-2.319954	37.71095
-1.939381	38.634909
-1.653043	39.592474
-1.444316	40.570012
-1.299471	41.55911
-1.207603	42.554576
-1.160141	43.553167
-1.150332	44.552859
-1.172809	45.552365
-1.223262	46.550853
-1.298189	47.547806
-1.394715	48.542917
-1.351015	49.515581
-0.954292	50.43318
-0.513598	51.330489
-0.029119	52.204944
0.498579	53.054004
1.068586	53.875253
1.679652	54.666437
2.330193	55.425485
3.018368	56.150596
3.742102	56.840225
4.499147	57.493112
5.287149	58.108286
6.103692	58.685051
6.946348	59.222959
7.812711	59.721786
8.700443	60.181509
9.607301	60.60227
10.531132	60.984331
11.469909	61.328063
12.421702	61.633897
13.384722	61.902322
14.357276	62.133842
15.337782	62.328971
16.324755	62.488215
17.316796	62.612055
18.312579	62.700945
19.310842	62.755297
20.310381	62.77548
21.310025	62.761815
22.308656	62.714571
23.305147	62.633962
24.29839	62.520152
25.287285	62.373249
26.270705	62.193308
27.247493	61.98034
28.216488	61.734301
29.17646	61.455106
30.126111	61.142643
31.06411	60.796754
31.989017	60.417275
32.899342	60.004015
33.793464	59.5568
34.66969	59.07546
35.526203	58.559867
36.361086	58.009946
37.172311	57.425701
37.957759	56.807234
38.715211	56.154787
39.44238	55.468764
40.136945	54.749747
40.796558	53.998553
41.647487	53.684095
42.645711	53.684095
43.644428	53.684095
44.645572	53.684095
